Generation,Timestamp,X-Axis,Y-Axis,Z-Axis,Frequency,
217,"9.553","-0.0814","0.0473","10.0311","200.4602",
218,"9.557","-0.0431","0.0473","10.0167","200.4946",
219,"9.641","-0.0096","0.0233","9.8061","200.3512",
220,"9.644","-0.0527","-0.0198","9.921","200.3855",
221,"9.649","-0.1101","0.0233","9.8444","200.4541",
222,"9.655","-0.1245","0.0138","9.9928","200.4883",
223,"9.733","-0.0527","-0.0006","10.1939","200.5412",
224,"9.739","-0.0048","0.0473","9.921","200.3796",
225,"9.748","-0.158","0.0377","9.9689","200.448",
226,"9.757","-0.0287","0.0712","9.8635","200.5163",
227,"9.848","-0.067","0.009","9.9689","200.4419",
228,"9.858","-0.0958","-0.0006","9.8635","200.51",
229,"9.95","-0.1006","-0.0533","10.055","200.4359",
230,"9.959","-0.0575","-0.0006","9.9258","200.5038",
231,"10.041","-0.0862","0.0521","10.0455","200.3623",
232,"10.043","-0.0383","0.0042","9.8875","200.3961",
233,"10.051","-0.0575","-0.0341","9.9545","200.4637",
234,"10.143","-0.0239","0.0569","9.9018","200.3903",
235,"10.226","-0.0144","0.0664","9.9258","200.5098",
236,"10.345","-0.0431","-0.0437","9.9306","200.3788",
237,"10.426","0.0144","0.0138","10.0024","200.4975",
238,"10.514","-0.0862","0.0042","9.9066","200.4248",
239,"10.523","-0.0431","-0.0054","9.9593","200.4914",
240,"10.526","-0.0239","-0.0245","9.9689","200.5247",
241,"10.597","-0.0431","-0.0341","9.8779","200.4763",
242,"10.613","-0.0479","0.0138","10.0455","200.3858",
243,"10.694","-0.0096","0.0856","9.8587","200.5034",
