Generation,Timestamp,X-Axis,Y-Axis,Z-Axis,Frequency,
354,"8.081","-0.0814","-0.0293","10.0886","202.2606",
355,"8.085","-0.1149","0.0712","10.0646","202.4208",
356,"8.094","-0.0622","0.0186","9.9593","202.2719",
357,"8.103","-0.0527","0.0186","9.9593","202.3786",
358,"8.197","-0.0527","-0.0198","9.9641","202.2528",
359,"8.212","-0.0527","0.0186","9.9641","202.4118",
360,"8.285","-0.0048","0.0521","10.012","202.0111",
361,"8.288","-0.0575","0.0186","9.8731","202.381",
362,"8.291","-0.1053","0.0186","9.9641","202.1811",
363,"8.302","-0.0479","0.0186","9.9641","202.3393",
364,"8.386","-0.067","0.0186","9.9784","201.941",
365,"8.389","-0.0622","0.0377","9.9976","202.2038",
366,"8.392","-0.0527","0.0186","9.9736","202.3089",
367,"8.396","0.0814","0.0521","9.9258","202.215",
368,"8.407","-0.0527","0.0186","9.9689","202.32",
369,"8.489","-0.0527","0.0186","9.9736","202.4989",
370,"8.495","-0.0527","0.0186","9.9736","202.2487",
371,"8.501","-0.0527","0.0186","9.9736","202.3009",
372,"8.581","0.0048","0.0425","10.0646","202.1149",
373,"8.586","-0.0527","0.0186","9.9784","202.4789",
374,"8.602","-0.0527","0.0521","10.0981","202.3339",
375,"8.681","-0.0096","-0.015","9.9928","201.9418",
376,"8.684","-0.1437","0.0712","9.9545","202.2005",
377,"8.786","-0.1437","0.0712","9.9784","201.8219",
378,"8.791","-0.1197","-0.0389","9.9353","202.1823",
379,"8.794","-0.091","0.0233","9.9784","202.1933",
380,"8.798","-0.0575","0.0233","9.9784","202.2447",
381,"8.805","-0.0527","0.0233","9.9784","202.3475",
382,"8.878","-0.0527","0.0233","10.012","201.9082",
383,"8.883","-0.0383","0.0569","9.9306","202.2666",
384,"8.885","-0.0527","0.0233","9.9784","202.4715",
385,"8.966","0","-0.0676","10.012","201.6879",
386,"8.969","-0.0335","0.0233","10.0598","201.8407",
387,"8.972","0.0383","0.0808","9.8539","202.1463",
388,"8.975","-0.0527","0.0233","9.9784","202.3501",
389,"8.982","-0.0527","0.0233","9.9784","202.4011",
390,"8.988","-0.0527","0.0233","9.9784","202.503",
391,"9.062","-0.091","0.0569","9.897","202.0669",
392,"9.067","-0.0431","0.0281","10.0215","202.1287",
393,"9.069","-0.0575","0.0233","9.9784","202.2807",
394,"9.152","-0.0622","0.0473","9.9162","202.3022",
395,"9.168","-0.0575","0.0233","9.9689","202.5043",
396,"9.244","-0.0575","0.0186","9.9689","202.3342",
397,"9.248","-0.0575","0.0186","9.9689","202.4347",
398,"9.346","-0.1293","-0.0293","9.9401","201.7157",
399,"9.351","-0.0862","-0.0389","9.8731","202.1658",
400,"9.354","-0.0096","0.0233","9.9784","202.4158",
401,"9.442","-0.0144","0.0233","9.9401","201.7503",
402,"9.445","-0.1293","-0.0198","9.9736","202.1981",
403,"9.448","-0.0575","0.0186","9.9784","202.3473",
404,"9.456","-0.0575","0.0186","9.9736","202.4468",
405,"9.463","-0.0575","0.0186","9.9736","202.4966",
406,"9.532","-0.0814","-0.0102","10.012","202.0815",
407,"9.534","-0.0575","0.0186","9.9689","202.2796",
408,"9.545","-0.0575","0.0186","9.9689","202.3291",
409,"9.622","-0.0575","0.0186","9.9689","202.4486",
410,"9.708","-0.091","0.0425","9.988","201.5462",
411,"9.712","-0.0192","0.0186","10.0646","201.8899",
412,"9.715","-0.067","0.0186","9.9018","202.1354",
413,"9.717","-0.0431","0.0377","9.9689","202.3808",
414,"9.724","-0.0575","0.0138","9.9736","202.4299",
415,"9.732","-0.0575","0.0138","9.9689","202.5281",
416,"9.824","-0.1006","-0.0245","10.0215","201.8741",
417,"9.827","-0.0575","0.0186","10.0694","202.265",
418,"9.83","-0.0575","0.0138","9.9736","202.4604",
419,"9.839","-0.0575","0.0138","9.9736","202.2265",
420,"9.845","-0.0575","0.0138","9.9689","202.2753",
421,"9.918","-0.0622","0.0569","10.0167","202.0043",
422,"9.921","-0.0192","0.0377","10.012","202.296",
423,"9.93","-0.0575","0.0186","9.9736","202.4905",
424,"10.013","-0.0287","0.0233","9.9736","201.7946",
425,"10.015","-0.1676","0.0617","10.1077","202.1333",
426,"10.019","-0.1101","0.0617","10.0646","202.3752",
427,"10.029","-0.0622","0.0138","9.9784","202.4719",
428,"10.105","-0.0622","0.0138","9.8444","202.2129",
429,"10.192","-0.0766","0.0233","9.9066","202.0895",
430,"10.195","-0.0383","0.0186","9.9784","202.4254",
431,"10.206","-0.0622","0.0138","9.9784","202.2437",
432,"10.292","-0.0527","-0.0293","9.9497","202.2164",
433,"10.295","-0.0622","0.0138","9.9784","202.4074",
434,"10.314","-0.0622","0.0138","9.9736","202.2743",
435,"10.404","-0.0814","-0.0006","9.9784","201.9143",
436,"10.406","-0.0287","0.0377","9.9976","202.0199",
437,"10.413","-0.0622","0.0138","9.9784","202.2572",
438,"10.422","-0.0622","0.0138","9.9784","202.3995",
439,"10.5","-0.067","-0.0102","9.9736","202.5139",
440,"10.511","-0.0622","0.0138","9.9784","202.2402",
441,"10.593","-0.0575","0.0617","9.9736","201.8366",
442,"10.595","-0.0622","-0.0533","9.9736","202.1191",
443,"10.599","-0.067","0.0473","9.9784","202.3545",
444,"10.61","-0.0622","0.0138","9.9689","202.2233",
445,"10.614","-0.0622","0.0138","9.9689","202.2703",
446,"10.69","-0.0431","-0.0006","9.8922","201.9154",
447,"10.693","-0.0527","-0.0533","9.897","202.056",
448,"10.696","-0.067","0.0186","9.9401","202.1966",
449,"10.701","-0.0287","-0.0341","9.9306","202.4309",
450,"10.711","-0.0383","0.0186","9.9641","202.2534",
451,"10.789","-0.0479","0.0569","9.9641","201.9469",
452,"10.793","-0.067","-0.0102","9.9545","202.4599",
453,"10.817","-0.0575","0.0186","9.9641","202.2833",
454,"10.907","-0.0862","-0.015","9.9976","201.6176",
455,"10.911","-0.0192","0.0186","9.8635","201.9884",
456,"10.915","-0.0862","-0.0054","9.9353","202.2664",
457,"10.926","-0.1053","0.0186","9.9641","202.4055",
458,"11.007","-0.0766","0.1047","9.7965","202.0089",
459,"11.009","-0.0575","0.0377","10.0838","201.9269",
460,"11.013","-0.0766","0.0281","9.9641","202.2498",
461,"11.025","-0.0287","0.0186","9.9641","202.3882",
462,"11.031","-0.0575","0.0186","9.9641","202.4344",
463,"11.106","-0.0575","0.0569","9.9784","201.9475",
464,"11.109","-0.1053","-0.0341","9.9593","201.82",
465,"11.113","-0.0096","0.0186","9.921","202.2333",
466,"11.124","-0.0575","0.0186","9.9545","202.3252",
467,"11.129","-0.0575","0.0186","9.9593","202.417",
468,"11.194","-0.0192","-0.0293","9.921","202.0698",
469,"11.197","-0.0431","-0.0676","10.0215","202.3903",
470,"11.202","-0.0575","0.0138","9.9545","202.4361",
471,"11.209","-0.0575","0.0186","9.9545","202.5276",
472,"11.214","-0.0575","0.0138","9.9545","202.2627",
473,"11.304","-0.0287","-0.0581","9.9545","202.4644",
474,"11.391","-0.0527","0.0138","9.9545","202.2203",
